t,v,i
1787906703.667727,0.3000,-3.06366800e-11
1787906703.675536,0.3100,8.95348800e-10
1787906703.683776,0.3200,1.97731700e-09
1787906703.691940,0.3300,3.33841900e-09
1787906703.700168,0.3400,5.09894600e-09
1787906703.707789,0.3500,7.35538700e-09
1787906703.715989,0.3600,9.95375800e-09
1787906703.724196,0.3700,1.34841900e-08
1787906703.732442,0.3800,1.78983100e-08
1787906703.740103,0.3900,2.35970400e-08
1787906703.748338,0.4000,3.01729200e-08
1787906703.756556,0.4100,3.90906200e-08
1787906703.763924,0.4200,5.03590700e-08
1787906703.771294,0.4300,6.28913700e-08
1787906703.779294,0.4400,7.85222200e-08
1787906703.787514,0.4500,9.99206000e-08
1787906703.795726,0.4600,1.27437300e-07
1787906703.803632,0.4700,1.62408200e-07
1787906703.810947,0.4800,2.05029100e-07
1787906703.819113,0.4900,2.54272200e-07
1787906703.827272,0.5000,3.23031400e-07
1787906703.835452,0.5100,4.10211200e-07
1787906703.842935,0.5200,5.21267000e-07
1787906703.851126,0.5300,6.48813200e-07
1787906703.859099,0.5400,8.24231900e-07
1787906703.867244,0.5500,1.04051200e-06
