t,v
1787000000.000000,-7.825340347e-04
1787000001.000000,1.901599330e-03
1787000002.000000,-1.371960940e-03
1787000003.000000,-8.579735228e-04
1787000004.000000,-2.085871511e-03
1787000005.000000,-1.327392480e-03
1787000006.000000,-1.132927162e-03
1787000007.000000,2.004592457e-04
1787000008.000000,-4.778776417e-04
1787000009.000000,1.292086617e-03
1787000010.000000,-3.741736698e-04
1787000011.000000,6.663214722e-04
1787000012.000000,2.050191818e-04
1787000013.000000,-1.510292833e-03
1787000014.000000,-1.311140713e-03
1787000015.000000,3.222533382e-04
1787000016.000000,-7.566287266e-04
1787000017.000000,1.561822712e-04
1787000018.000000,-1.490504112e-03
1787000019.000000,-1.437539008e-03
